"","SampleNo","Amaranthus_retroflexus","Arenaria_serpyllifolia_agg.","Bellis_perennis","Brassica_napus","Bromus_hordeaceus","Capsella_bursa.pastoris","Cerastium_fontanum","Cerastium_glomeratum","Cerastium_holosteoides","Chenopodium_album","Cichorium_intybus","Cirsium_arvense","Convolvulus_arvensis","Crepis_capillaris","Dactylis_glomerata","Digitaria_sanguinalis","Echinocloa_crus.gali","Elymus_repens","Eragrostis_minor","Erigeron_canadensis","Erodium_spec.","Euphorbia_peplus","Festuca_arundinacea","Festuca_rubra","Galinsoga_parviflora","Geranium_molle","Geranium_pusillum","Hordeum_murinum","Hypericum_perforatum","Hypochaeris_radicata","Lamium_purpurea","Lolium_multiflorum_agg.","Lolium_perenne","Lotus_corniculatus","Matricaria_discoidea","Medicargo_x_varia","Persicaria_laxiflora","Phleum_pratense","Plantago_intermedia","Plantago_lanceolata","Poa_trivialis","Polygonum_aviculare","Portulaca_oleracea","Rumex_chrispus","Rumex_obtursifolia","Rumex_thyrsiflorus","Scorzoneroides_autumnalis","Silene_latifolia","Sonchus_oleraceus","Spergula_arvensis","Stellaria_media","Taraxacum_sec._ruderalia","Trifolium_hybridum","Trifolium_pratense","Trifolium_repens","Vicia_villosa","grass_sum","herb_sum","legume_sum","all_abundance","grass_prop","herb_prop","legume_prop","time","W","N","D","HM","MP","S","A","I","AF","SF","Lv","remark","richness_all","diversity_all","diversity_grass","diversity_herb","diversity_legume"
"23",23,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,5,0,1,1,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,0,0,20,0,0,5,0,0,0,0,0,0,5,1,0,0,60,70,0,25,47,130,202,0.123762376237624,0.232673267326733,0.643564356435644,0,0,0,0,0,0,0,0,0,0,0,0,"CT",15,0.772718360945005,0.6848,0.738795835219556,0.497041420118343
"24",24,5,0,0,0,0,0,0,0,0,1,20,0,0,0,0,1,1,0,1,0,0,0,5,0,5,0,0,0,0,0,0,16,5,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,50,60,0,34,41,110,185,0.183783783783784,0.221621621621622,0.594594594594595,0,1,1,1,1,1,0,0,1,1,1,8,"8",15,0.797370343316289,0.711072664359861,0.701963117192148,0.495867768595041
"25",25,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,1,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,50,40,0,23,90,90,203,0.113300492610837,0.443349753694581,0.443349753694581,0,0,1,0,0,0,0,0,0,0,0,1,"N",14,0.797981023562814,0.669187145557656,0.5,0.493827160493827
"26",26,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,60,60,0,21,66,120,207,0.101449275362319,0.318840579710145,0.579710144927536,0,0,0,0,0,0,0,0,0,0,0,0,"CT",12,0.780648323181405,0.607709750566893,0.534894398530762,0.5
"27",27,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,1,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,60,30,0,22,86,90,198,0.111111111111111,0.434343434343434,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,"CT",13,0.77808386899296,0.640495867768595,0.45565170362358,0.444444444444444
"28",28,0,0,0,0,0,0,0,0,0,5,60,0,0,0,1,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,60,50,0,22,90,110,222,0.0990990990990991,0.405405405405405,0.495495495495495,0,0,0,0,0,0,0,0,1,0,0,1,"I",14,0.79457836214593,0.640495867768595,0.524691358024691,0.495867768595041
"29",29,0,0,0,0,0,0,0,0,0,5,70,0,0,0,1,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,50,30,0,21,101,80,202,0.103960396039604,0.5,0.396039603960396,0,1,0,0,0,0,0,0,0,0,0,1,"W",13,0.781295951377316,0.607709750566893,0.475443583962357,0.46875
"30",30,0,0,0,0,0,1,0,0,0,0,60,0,0,0,5,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,5,0,20,0,0,1,0,0,0,0,0,0,0,1,0,0,50,40,0,29,88,90,207,0.140096618357488,0.42512077294686,0.434782608695652,0,0,0,0,1,0,0,0,0,0,0,1,"HM",14,0.805152979066023,0.737217598097503,0.479855371900826,0.493827160493827
"31",31,0,0,0,0,0,1,0,0,0,5,40,0,0,0,1,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,1,0,0,0,0,60,30,0,19,68,90,177,0.107344632768362,0.384180790960452,0.508474576271186,0,0,0,0,0,0,1,0,0,0,0,1,"S",14,0.794152382776341,0.526315789473684,0.615484429065744,0.444444444444444
"32",32,0,0,0,0,0,0,0,0,0,5,60,0,0,0,5,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,0,25,85,80,190,0.131578947368421,0.447368421052632,0.421052631578947,0,0,0,1,0,0,1,1,1,1,1,6,"6",12,0.794404432132964,0.6848,0.470588235294118,0.46875
"33",33,0,0,0,0,0,0,0,0,0,5,80,0,0,0,1,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,50,20,0,21,97,70,188,0.111702127659574,0.515957446808511,0.372340425531915,0,0,1,1,1,0,1,1,0,1,0,6,"6",14,0.729798551380715,0.607709750566893,0.311616537357849,0.408163265306122
"34",34,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,0,1,0,1,0,0,0,5,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,1,0,5,0,0,0,0,0,0,1,0,0,0,60,70,0,27,32,130,189,0.142857142857143,0.169312169312169,0.687830687830688,0,1,1,1,1,1,1,1,1,1,1,10,"10",16,0.749419109207469,0.727023319615912,0.75390625,0.497041420118343
"35",35,0,0,0,0,0,0,0,0,0,1,20,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,1,0,1,0,0,0,0,0,0,1,1,0,0,50,70,0,23,39,120,182,0.126373626373626,0.214285714285714,0.659340659340659,0,1,1,1,1,0,1,0,1,1,1,8,"8",17,0.75534355754136,0.669187145557656,0.652202498356345,0.486111111111111
"36",36,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,1,0,5,0,0,0,0,0,0,0,0,0,0,60,70,0,23,25,130,178,0.129213483146067,0.140449438202247,0.730337078651685,0,0,0,0,1,0,0,0,0,0,0,1,"HM",14,0.720679207170812,0.669187145557656,0.72,0.497041420118343
"37",37,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,1,5,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,5,0,20,1,0,0,0,0,0,0,0,0,1,1,0,0,60,70,0,31,47,130,208,0.149038461538462,0.225961538461538,0.625,0,0,1,0,0,0,1,0,1,0,1,4,"4",15,0.779262204142012,0.767950052029136,0.625622453598914,0.497041420118343
"38",38,0,0,0,0,0,0,0,0,0,1,20,0,0,0,1,1,5,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,60,60,0,27,37,120,184,0.146739130434783,0.201086956521739,0.652173913043478,0,1,0,1,0,1,1,0,1,0,1,6,"6",15,0.765890831758034,0.727023319615912,0.615047479912345,0.5
"39",39,0,0,0,0,0,0,0,0,0,1,30,0,0,0,1,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,1,0,0,1,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,60,50,0,22,52,110,184,0.119565217391304,0.282608695652174,0.597826086956522,0,0,0,0,0,0,0,0,1,0,0,1,"I",15,0.783612948960303,0.640495867768595,0.61094674556213,0.495867768595041
"40",40,0,0,0,0,0,0,0,0,0,5,60,0,0,0,1,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,50,30,0,21,91,80,192,0.109375,0.473958333333333,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,"CT",13,0.793185763888889,0.607709750566893,0.510807873445236,0.46875
"41",41,0,0,0,0,0,1,0,0,0,5,80,0,0,0,0,0,1,0,1,0,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,40,20,0,21,117,60,198,0.106060606060606,0.590909090909091,0.303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,"CT",14,0.767880828486889,0.607709750566893,0.493973263204032,0.444444444444444
"42",42,0,0,0,0,0,0,0,0,0,1,40,0,0,0,1,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,60,20,0,21,62,80,163,0.128834355828221,0.380368098159509,0.49079754601227,0,0,0,0,0,1,0,0,0,0,0,1,"MP",13,0.775113854492077,0.607709750566893,0.531217481789802,0.375
"43",43,0,0,0,0,0,0,0,0,0,1,90,0,0,0,0,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,50,30,0,21,111,80,212,0.0990566037735849,0.523584905660377,0.377358490566038,0,0,0,0,0,0,1,0,0,0,0,1,"S",13,0.736917052331791,0.607709750566893,0.33033033033033,0.46875
"44",44,5,0,0,0,0,1,0,0,0,1,70,0,0,0,1,1,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,50,30,0,23,88,80,191,0.120418848167539,0.460732984293194,0.418848167539267,0,0,0,0,0,1,0,0,0,0,0,1,"MP",17,0.765549189989309,0.669187145557656,0.357179752066116,0.46875
"45",45,0,0,0,0,1,0,0,0,0,5,30,0,0,0,1,0,1,0,5,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,5,0,10,0,0,5,0,0,0,0,0,0,1,0,0,0,70,50,0,31,56,120,207,0.14975845410628,0.270531400966184,0.579710144927536,0,1,0,0,0,0,0,0,0,0,0,1,"W",16,0.796984760437817,0.767950052029136,0.656887755102041,0.486111111111111
"46",46,0,0,0,0,0,0,0,0,0,1,20,0,0,0,1,0,5,0,1,0,0,0,1,0,5,0,0,0,0,0,0,16,5,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,70,70,0,30,37,140,207,0.144927536231884,0.178743961352657,0.676328502415459,0,0,0,0,0,0,0,0,0,0,0,0,"CT",14,0.751756167005064,0.655555555555556,0.615047479912345,0.5
"47",47,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,5,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,70,70,0,26,26,140,192,0.135416666666667,0.135416666666667,0.729166666666667,0,1,1,0,0,0,0,0,1,0,1,4,"4",13,0.72265625,0.707100591715976,0.665680473372781,0.5
"48",48,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,5,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,11,5,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,40,70,0,26,27,110,163,0.159509202453988,0.165644171779141,0.674846625766871,0,0,0,0,0,0,0,0,0,0,0,0,"CT",15,0.740185930972186,0.739644970414201,0.688614540466392,0.462809917355372
"49",49,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,5,0,10,1,0,5,0,0,0,0,0,0,1,0,0,0,60,50,0,26,61,110,197,0.131979695431472,0.309644670050761,0.558375634517767,0,1,1,1,1,1,1,1,1,1,1,10,"10",14,0.792599654719266,0.707100591715976,0.529427573233002,0.495867768595041
"50",50,0,0,0,0,0,0,0,0,0,1,60,0,0,0,1,1,1,0,1,0,0,0,5,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,60,30,0,27,81,90,198,0.136363636363636,0.409090909090909,0.454545454545455,0,0,1,0,1,0,0,0,0,0,0,2,"2",15,0.784460769309254,0.727023319615912,0.428288370675202,0.444444444444444
"51",51,0,0,0,0,0,0,0,0,0,5,30,0,0,0,1,0,5,0,0,0,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,5,0,0,0,0,0,0,1,0,0,0,60,50,0,25,61,110,196,0.127551020408163,0.311224489795918,0.561224489795918,0,1,1,1,1,1,0,1,1,0,1,8,"8",14,0.806122448979592,0.6848,0.69067454985219,0.495867768595041
"52",52,0,0,0,1,0,0,0,0,0,20,60,0,0,0,1,0,1,0,1,0,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,22,112,100,234,0.094017094017094,0.478632478632479,0.427350427350427,0,0,0,1,0,0,0,0,0,0,0,1,"D",15,0.819636204251589,0.640495867768595,0.641103316326531,0.48
"53",53,5,0,0,0,0,1,0,0,0,0,60,0,0,0,1,0,1,0,1,0,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,50,40,0,22,96,95,213,0.103286384976526,0.450704225352113,0.446009389671362,0,0,0,0,0,0,0,0,0,0,1,1,"SF",15,0.814300513566532,0.640495867768595,0.552300347222222,0.542936288088643
"54",54,0,0,0,0,0,0,0,0,0,1,70,0,0,0,1,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,60,30,0,22,87,90,199,0.110552763819095,0.437185929648241,0.452261306532663,0,0,0,0,0,1,0,1,0,0,0,2,"2",14,0.755031438600035,0.640495867768595,0.33584357246664,0.444444444444444
"55",55,0,0,0,0,0,0,0,0,0,5,60,0,0,0,1,0,1,0,5,0,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,60,30,0,26,90,90,206,0.12621359223301,0.436893203883495,0.436893203883495,0,0,0,0,0,0,0,0,0,1,0,1,"AF",14,0.798567254218117,0.707100591715976,0.524691358024691,0.444444444444444
"56",56,0,0,0,0,0,0,0,0,0,5,30,0,0,0,1,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,11,5,0,0,0,0,1,0,10,1,0,5,0,0,0,0,0,0,0,0,0,0,60,60,0,22,55,120,197,0.111675126903553,0.279187817258883,0.609137055837564,0,0,0,0,0,0,0,0,0,0,1,1,"SF",15,0.782859645958412,0.68595041322314,0.644628099173554,0.5
"57",57,0,0,0,0,0,0,0,0,0,5,10,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,1,0,5,0,0,0,0,0,0,1,0,0,0,60,60,0,23,36,120,179,0.128491620111732,0.201117318435754,0.670391061452514,0,1,1,0,0,0,0,0,0,0,0,2,"2",16,0.761212196872757,0.669187145557656,0.787037037037037,0.5
"58",58,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,50,70,0,21,31,120,172,0.122093023255814,0.180232558139535,0.697674418604651,0,1,1,1,0,0,1,0,1,0,1,6,"6",13,0.7355327203894,0.607709750566893,0.738813735691987,0.486111111111111
"59",59,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,5,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,1,0,0,0,60,70,0,27,28,130,185,0.145945945945946,0.151351351351351,0.702702702702703,0,1,0,0,0,0,1,0,0,0,0,2,"2",16,0.739167275383492,0.727023319615912,0.709183673469388,0.497041420118343
"60",60,0,0,0,0,0,0,0,0,0,1,20,0,0,0,1,0,5,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,1,0,1,0,0,0,0,0,0,1,0,0,0,60,60,0,27,48,120,195,0.138461538461538,0.246153846153846,0.615384615384615,0,0,0,0,0,0,0,0,0,0,1,1,"SF",16,0.783642340565417,0.727023319615912,0.640625,0.5
