"year","remark","Lv","Lv_numeric","value","response","response_label"
"2021","S",1,1,14,"richness_all","Plant richness"
"2021","HM",1,1,12,"richness_all","Plant richness"
"2021","CT",0,0,15,"richness_all","Plant richness"
"2021","6",6,6,15,"richness_all","Plant richness"
"2021","I",1,1,14,"richness_all","Plant richness"
"2021","A",1,1,15,"richness_all","Plant richness"
"2021","MP",1,1,16,"richness_all","Plant richness"
"2021","AF",1,1,15,"richness_all","Plant richness"
"2021","4",4,4,13,"richness_all","Plant richness"
"2021","SF",1,1,12,"richness_all","Plant richness"
"2021","6",6,6,13,"richness_all","Plant richness"
"2021","MP",1,1,13,"richness_all","Plant richness"
"2021","6",6,6,14,"richness_all","Plant richness"
"2021","CT",0,0,15,"richness_all","Plant richness"
"2021","10",10,10,15,"richness_all","Plant richness"
"2021","4",4,4,15,"richness_all","Plant richness"
"2021","N",1,1,12,"richness_all","Plant richness"
"2021","6",6,6,14,"richness_all","Plant richness"
"2021","A",1,1,14,"richness_all","Plant richness"
"2021","10",10,10,13,"richness_all","Plant richness"
"2021","10",10,10,12,"richness_all","Plant richness"
"2021","S",1,1,15,"richness_all","Plant richness"
"2021","SF",1,1,14,"richness_all","Plant richness"
"2021","D",1,1,15,"richness_all","Plant richness"
"2021","A",1,1,14,"richness_all","Plant richness"
"2021","2",2,2,15,"richness_all","Plant richness"
"2021","HM",1,1,14,"richness_all","Plant richness"
"2021","4",4,4,14,"richness_all","Plant richness"
"2021","8",8,8,15,"richness_all","Plant richness"
"2021","8",8,8,14,"richness_all","Plant richness"
"2021","HM",1,1,12,"richness_all","Plant richness"
"2021","CT",0,0,14,"richness_all","Plant richness"
"2021","S",1,1,14,"richness_all","Plant richness"
"2021","MP",1,1,12,"richness_all","Plant richness"
"2021","6",6,6,15,"richness_all","Plant richness"
"2021","HM",1,1,13,"richness_all","Plant richness"
"2021","D",1,1,15,"richness_all","Plant richness"
"2021","6",6,6,13,"richness_all","Plant richness"
"2021","CT",0,0,15,"richness_all","Plant richness"
"2021","8",8,8,15,"richness_all","Plant richness"
"2021","A",1,1,14,"richness_all","Plant richness"
"2021","2",2,2,13,"richness_all","Plant richness"
"2021","4",4,4,14,"richness_all","Plant richness"
"2021","10",10,10,12,"richness_all","Plant richness"
"2021","A",1,1,13,"richness_all","Plant richness"
"2021","N",1,1,12,"richness_all","Plant richness"
"2021","CT",0,0,14,"richness_all","Plant richness"
"2021","N",1,1,12,"richness_all","Plant richness"
"2021","SF",1,1,14,"richness_all","Plant richness"
"2021","HM",1,1,14,"richness_all","Plant richness"
"2021","AF",1,1,15,"richness_all","Plant richness"
"2021","6",6,6,13,"richness_all","Plant richness"
"2021","I",1,1,15,"richness_all","Plant richness"
"2021","8",8,8,12,"richness_all","Plant richness"
"2021","CT",0,0,16,"richness_all","Plant richness"
"2021","8",8,8,14,"richness_all","Plant richness"
"2021","10",10,10,14,"richness_all","Plant richness"
"2021","A",1,1,14,"richness_all","Plant richness"
"2021","I",1,1,15,"richness_all","Plant richness"
"2021","N",1,1,15,"richness_all","Plant richness"
"2021","4",4,4,13,"richness_all","Plant richness"
"2021","CT",0,0,14,"richness_all","Plant richness"
"2021","4",4,4,13,"richness_all","Plant richness"
"2021","S",1,1,15,"richness_all","Plant richness"
"2021","8",8,8,14,"richness_all","Plant richness"
"2021","D",1,1,13,"richness_all","Plant richness"
"2021","MP",1,1,13,"richness_all","Plant richness"
"2021","A",1,1,13,"richness_all","Plant richness"
"2022","N",1,1,17,"richness_all","Plant richness"
"2022","I",1,1,10,"richness_all","Plant richness"
"2022","AF",1,1,14,"richness_all","Plant richness"
"2022","AF",1,1,12,"richness_all","Plant richness"
"2022","10",10,10,10,"richness_all","Plant richness"
"2022","N",1,1,11,"richness_all","Plant richness"
"2022","W",1,1,14,"richness_all","Plant richness"
"2022","D",1,1,8,"richness_all","Plant richness"
"2022","W",1,1,14,"richness_all","Plant richness"
"2022","10",10,10,7,"richness_all","Plant richness"
"2022","2",2,2,13,"richness_all","Plant richness"
"2022","MP",1,1,16,"richness_all","Plant richness"
"2022","2",2,2,13,"richness_all","Plant richness"
"2022","8",8,8,10,"richness_all","Plant richness"
"2022","4",4,4,11,"richness_all","Plant richness"
"2022","4",4,4,11,"richness_all","Plant richness"
"2022","MP",1,1,12,"richness_all","Plant richness"
"2022","2",2,2,11,"richness_all","Plant richness"
"2022","W",1,1,10,"richness_all","Plant richness"
"2022","6",6,6,9,"richness_all","Plant richness"
"2022","I",1,1,10,"richness_all","Plant richness"
"2022","S",1,1,16,"richness_all","Plant richness"
"2022","CT",0,0,13,"richness_all","Plant richness"
"2022","8",8,8,8,"richness_all","Plant richness"
"2022","N",1,1,12,"richness_all","Plant richness"
"2022","CT",0,0,11,"richness_all","Plant richness"
"2022","CT",0,0,11,"richness_all","Plant richness"
"2022","I",1,1,9,"richness_all","Plant richness"
"2022","W",1,1,9,"richness_all","Plant richness"
"2022","HM",1,1,9,"richness_all","Plant richness"
"2022","S",1,1,11,"richness_all","Plant richness"
"2022","6",6,6,11,"richness_all","Plant richness"
"2022","6",6,6,11,"richness_all","Plant richness"
"2022","10",10,10,8,"richness_all","Plant richness"
"2022","8",8,8,10,"richness_all","Plant richness"
"2022","HM",1,1,12,"richness_all","Plant richness"
"2022","4",4,4,13,"richness_all","Plant richness"
"2022","6",6,6,7,"richness_all","Plant richness"
"2022","I",1,1,13,"richness_all","Plant richness"
"2022","CT",0,0,10,"richness_all","Plant richness"
"2022","CT",0,0,12,"richness_all","Plant richness"
"2022","MP",1,1,14,"richness_all","Plant richness"
"2022","S",1,1,13,"richness_all","Plant richness"
"2022","MP",1,1,15,"richness_all","Plant richness"
"2022","W",1,1,10,"richness_all","Plant richness"
"2022","CT",0,0,13,"richness_all","Plant richness"
"2022","4",4,4,10,"richness_all","Plant richness"
"2022","CT",0,0,13,"richness_all","Plant richness"
"2022","10",10,10,10,"richness_all","Plant richness"
"2022","2",2,2,11,"richness_all","Plant richness"
"2022","8",8,8,7,"richness_all","Plant richness"
"2022","D",1,1,11,"richness_all","Plant richness"
"2022","SF",1,1,11,"richness_all","Plant richness"
"2022","2",2,2,12,"richness_all","Plant richness"
"2022","AF",1,1,9,"richness_all","Plant richness"
"2022","SF",1,1,12,"richness_all","Plant richness"
"2022","2",2,2,11,"richness_all","Plant richness"
"2022","6",6,6,10,"richness_all","Plant richness"
"2022","2",2,2,10,"richness_all","Plant richness"
"2022","SF",1,1,12,"richness_all","Plant richness"
"2022","4",4,4,12,"richness_all","Plant richness"
"2022","D",1,1,11,"richness_all","Plant richness"
"2022","AF",1,1,11,"richness_all","Plant richness"
"2022","10",10,10,7,"richness_all","Plant richness"
"2022","8",8,8,10,"richness_all","Plant richness"
"2022","SF",1,1,13,"richness_all","Plant richness"
"2022","10",10,10,11,"richness_all","Plant richness"
"2022","N",1,1,10,"richness_all","Plant richness"
"2022","HM",1,1,11,"richness_all","Plant richness"
"2022","AF",1,1,12,"richness_all","Plant richness"
"2022","I",1,1,11,"richness_all","Plant richness"
"2022","SF",1,1,11,"richness_all","Plant richness"
"2022","W",1,1,10,"richness_all","Plant richness"
"2022","W",1,1,12,"richness_all","Plant richness"
"2022","S",1,1,14,"richness_all","Plant richness"
"2022","4",4,4,10,"richness_all","Plant richness"
"2022","D",1,1,12,"richness_all","Plant richness"
"2022","2",2,2,15,"richness_all","Plant richness"
"2022","AF",1,1,11,"richness_all","Plant richness"
"2022","W",1,1,11,"richness_all","Plant richness"
"2022","2",2,2,12,"richness_all","Plant richness"
"2022","10",10,10,8,"richness_all","Plant richness"
"2022","A",1,1,9,"richness_all","Plant richness"
"2022","2",2,2,12,"richness_all","Plant richness"
"2022","8",8,8,10,"richness_all","Plant richness"
"2022","D",1,1,10,"richness_all","Plant richness"
"2022","S",1,1,13,"richness_all","Plant richness"
"2022","HM",1,1,10,"richness_all","Plant richness"
"2022","CT",0,0,13,"richness_all","Plant richness"
"2022","6",6,6,9,"richness_all","Plant richness"
"2022","I",1,1,13,"richness_all","Plant richness"
"2022","A",1,1,10,"richness_all","Plant richness"
"2022","MP",1,1,12,"richness_all","Plant richness"
"2022","AF",1,1,10,"richness_all","Plant richness"
"2022","4",4,4,9,"richness_all","Plant richness"
"2022","SF",1,1,11,"richness_all","Plant richness"
"2022","6",6,6,10,"richness_all","Plant richness"
"2022","MP",1,1,12,"richness_all","Plant richness"
"2022","6",6,6,5,"richness_all","Plant richness"
"2022","CT",0,0,16,"richness_all","Plant richness"
"2022","10",10,10,5,"richness_all","Plant richness"
"2022","4",4,4,16,"richness_all","Plant richness"
"2022","N",1,1,10,"richness_all","Plant richness"
"2022","6",6,6,8,"richness_all","Plant richness"
"2022","A",1,1,9,"richness_all","Plant richness"
"2022","10",10,10,7,"richness_all","Plant richness"
"2022","10",10,10,8,"richness_all","Plant richness"
"2022","S",1,1,11,"richness_all","Plant richness"
"2022","SF",1,1,11,"richness_all","Plant richness"
"2022","D",1,1,9,"richness_all","Plant richness"
"2022","A",1,1,12,"richness_all","Plant richness"
"2022","2",2,2,13,"richness_all","Plant richness"
"2022","HM",1,1,11,"richness_all","Plant richness"
"2022","4",4,4,10,"richness_all","Plant richness"
"2022","8",8,8,10,"richness_all","Plant richness"
"2022","8",8,8,8,"richness_all","Plant richness"
"2022","HM",1,1,13,"richness_all","Plant richness"
"2022","CT",0,0,11,"richness_all","Plant richness"
"2022","S",1,1,12,"richness_all","Plant richness"
"2022","MP",1,1,11,"richness_all","Plant richness"
"2022","6",6,6,13,"richness_all","Plant richness"
"2022","HM",1,1,16,"richness_all","Plant richness"
"2022","D",1,1,10,"richness_all","Plant richness"
"2022","6",6,6,9,"richness_all","Plant richness"
"2022","CT",0,0,12,"richness_all","Plant richness"
"2022","8",8,8,10,"richness_all","Plant richness"
"2022","A",1,1,12,"richness_all","Plant richness"
"2022","2",2,2,12,"richness_all","Plant richness"
"2022","4",4,4,12,"richness_all","Plant richness"
"2022","10",10,10,9,"richness_all","Plant richness"
"2022","A",1,1,12,"richness_all","Plant richness"
"2022","N",1,1,13,"richness_all","Plant richness"
"2022","CT",0,0,14,"richness_all","Plant richness"
"2022","N",1,1,12,"richness_all","Plant richness"
"2022","SF",1,1,10,"richness_all","Plant richness"
"2022","HM",1,1,9,"richness_all","Plant richness"
"2022","AF",1,1,10,"richness_all","Plant richness"
"2022","6",6,6,11,"richness_all","Plant richness"
"2022","I",1,1,12,"richness_all","Plant richness"
"2022","8",8,8,10,"richness_all","Plant richness"
"2022","CT",0,0,11,"richness_all","Plant richness"
"2022","8",8,8,8,"richness_all","Plant richness"
"2022","10",10,10,10,"richness_all","Plant richness"
"2022","A",1,1,12,"richness_all","Plant richness"
"2022","I",1,1,10,"richness_all","Plant richness"
"2022","N",1,1,11,"richness_all","Plant richness"
"2022","4",4,4,10,"richness_all","Plant richness"
"2022","CT",0,0,11,"richness_all","Plant richness"
"2022","4",4,4,12,"richness_all","Plant richness"
"2022","S",1,1,11,"richness_all","Plant richness"
"2022","8",8,8,9,"richness_all","Plant richness"
"2022","D",1,1,8,"richness_all","Plant richness"
"2022","MP",1,1,13,"richness_all","Plant richness"
"2022","A",1,1,14,"richness_all","Plant richness"
"2023","N",1,1,6,"richness_all","Plant richness"
"2023","I",1,1,7,"richness_all","Plant richness"
"2023","AF",1,1,6,"richness_all","Plant richness"
"2023","AF",1,1,9,"richness_all","Plant richness"
"2023","10",10,10,4,"richness_all","Plant richness"
"2023","N",1,1,8,"richness_all","Plant richness"
"2023","W",1,1,8,"richness_all","Plant richness"
"2023","D",1,1,11,"richness_all","Plant richness"
"2023","W",1,1,11,"richness_all","Plant richness"
"2023","10",10,10,4,"richness_all","Plant richness"
"2023","2",2,2,8,"richness_all","Plant richness"
"2023","MP",1,1,7,"richness_all","Plant richness"
"2023","2",2,2,8,"richness_all","Plant richness"
"2023","8",8,8,4,"richness_all","Plant richness"
"2023","4",4,4,10,"richness_all","Plant richness"
"2023","4",4,4,8,"richness_all","Plant richness"
"2023","MP",1,1,7,"richness_all","Plant richness"
"2023","2",2,2,7,"richness_all","Plant richness"
"2023","W",1,1,10,"richness_all","Plant richness"
"2023","6",6,6,8,"richness_all","Plant richness"
"2023","I",1,1,6,"richness_all","Plant richness"
"2023","S",1,1,10,"richness_all","Plant richness"
"2023","CT",0,0,8,"richness_all","Plant richness"
"2023","8",8,8,4,"richness_all","Plant richness"
"2023","N",1,1,7,"richness_all","Plant richness"
"2023","CT",0,0,7,"richness_all","Plant richness"
"2023","CT",0,0,9,"richness_all","Plant richness"
"2023","I",1,1,5,"richness_all","Plant richness"
"2023","W",1,1,7,"richness_all","Plant richness"
"2023","HM",1,1,7,"richness_all","Plant richness"
"2023","S",1,1,8,"richness_all","Plant richness"
"2023","6",6,6,11,"richness_all","Plant richness"
"2023","6",6,6,11,"richness_all","Plant richness"
"2023","10",10,10,5,"richness_all","Plant richness"
"2023","8",8,8,6,"richness_all","Plant richness"
"2023","HM",1,1,9,"richness_all","Plant richness"
"2023","4",4,4,8,"richness_all","Plant richness"
"2023","6",6,6,5,"richness_all","Plant richness"
"2023","I",1,1,8,"richness_all","Plant richness"
"2023","CT",0,0,8,"richness_all","Plant richness"
"2023","CT",0,0,9,"richness_all","Plant richness"
"2023","MP",1,1,6,"richness_all","Plant richness"
"2023","S",1,1,15,"richness_all","Plant richness"
"2023","MP",1,1,15,"richness_all","Plant richness"
"2023","W",1,1,5,"richness_all","Plant richness"
"2023","CT",0,0,11,"richness_all","Plant richness"
"2023","4",4,4,4,"richness_all","Plant richness"
"2023","CT",0,0,8,"richness_all","Plant richness"
"2023","10",10,10,3,"richness_all","Plant richness"
"2023","2",2,2,7,"richness_all","Plant richness"
"2023","8",8,8,4,"richness_all","Plant richness"
"2023","D",1,1,7,"richness_all","Plant richness"
"2023","SF",1,1,9,"richness_all","Plant richness"
"2023","2",2,2,7,"richness_all","Plant richness"
"2023","AF",1,1,11,"richness_all","Plant richness"
"2023","SF",1,1,8,"richness_all","Plant richness"
"2023","2",2,2,6,"richness_all","Plant richness"
"2023","6",6,6,4,"richness_all","Plant richness"
"2023","2",2,2,8,"richness_all","Plant richness"
"2023","SF",1,1,7,"richness_all","Plant richness"
"2023","4",4,4,7,"richness_all","Plant richness"
"2023","D",1,1,9,"richness_all","Plant richness"
"2023","AF",1,1,8,"richness_all","Plant richness"
"2023","10",10,10,5,"richness_all","Plant richness"
"2023","8",8,8,8,"richness_all","Plant richness"
"2023","SF",1,1,8,"richness_all","Plant richness"
"2023","10",10,10,4,"richness_all","Plant richness"
"2023","N",1,1,7,"richness_all","Plant richness"
"2023","HM",1,1,8,"richness_all","Plant richness"
"2023","AF",1,1,7,"richness_all","Plant richness"
"2023","I",1,1,8,"richness_all","Plant richness"
"2023","SF",1,1,7,"richness_all","Plant richness"
"2023","W",1,1,10,"richness_all","Plant richness"
"2023","W",1,1,8,"richness_all","Plant richness"
"2023","S",1,1,12,"richness_all","Plant richness"
"2023","4",4,4,11,"richness_all","Plant richness"
"2023","D",1,1,13,"richness_all","Plant richness"
"2023","2",2,2,6,"richness_all","Plant richness"
"2023","AF",1,1,8,"richness_all","Plant richness"
"2023","W",1,1,6,"richness_all","Plant richness"
"2023","2",2,2,7,"richness_all","Plant richness"
"2023","10",10,10,5,"richness_all","Plant richness"
"2023","A",1,1,10,"richness_all","Plant richness"
"2023","2",2,2,8,"richness_all","Plant richness"
"2023","8",8,8,5,"richness_all","Plant richness"
"2023","D",1,1,8,"richness_all","Plant richness"
"2023","S",1,1,7,"richness_all","Plant richness"
"2023","HM",1,1,10,"richness_all","Plant richness"
"2023","CT",0,0,7,"richness_all","Plant richness"
"2023","6",6,6,3,"richness_all","Plant richness"
"2023","I",1,1,6,"richness_all","Plant richness"
"2023","A",1,1,7,"richness_all","Plant richness"
"2023","MP",1,1,7,"richness_all","Plant richness"
"2023","AF",1,1,7,"richness_all","Plant richness"
"2023","4",4,4,6,"richness_all","Plant richness"
"2023","SF",1,1,7,"richness_all","Plant richness"
"2023","6",6,6,6,"richness_all","Plant richness"
"2023","MP",1,1,7,"richness_all","Plant richness"
"2023","6",6,6,4,"richness_all","Plant richness"
"2023","CT",0,0,8,"richness_all","Plant richness"
"2023","10",10,10,6,"richness_all","Plant richness"
"2023","4",4,4,4,"richness_all","Plant richness"
"2023","N",1,1,7,"richness_all","Plant richness"
"2023","6",6,6,9,"richness_all","Plant richness"
"2023","A",1,1,9,"richness_all","Plant richness"
"2023","10",10,10,4,"richness_all","Plant richness"
"2023","10",10,10,6,"richness_all","Plant richness"
"2023","S",1,1,7,"richness_all","Plant richness"
"2023","SF",1,1,9,"richness_all","Plant richness"
"2023","D",1,1,6,"richness_all","Plant richness"
"2023","A",1,1,7,"richness_all","Plant richness"
"2023","2",2,2,7,"richness_all","Plant richness"
"2023","HM",1,1,6,"richness_all","Plant richness"
"2023","4",4,4,8,"richness_all","Plant richness"
"2023","8",8,8,5,"richness_all","Plant richness"
"2023","8",8,8,4,"richness_all","Plant richness"
"2023","HM",1,1,8,"richness_all","Plant richness"
"2023","CT",0,0,7,"richness_all","Plant richness"
"2023","S",1,1,9,"richness_all","Plant richness"
"2023","MP",1,1,8,"richness_all","Plant richness"
"2023","6",6,6,4,"richness_all","Plant richness"
"2023","HM",1,1,9,"richness_all","Plant richness"
"2023","D",1,1,6,"richness_all","Plant richness"
"2023","6",6,6,5,"richness_all","Plant richness"
"2023","CT",0,0,7,"richness_all","Plant richness"
"2023","8",8,8,7,"richness_all","Plant richness"
"2023","A",1,1,7,"richness_all","Plant richness"
"2023","2",2,2,6,"richness_all","Plant richness"
"2023","4",4,4,7,"richness_all","Plant richness"
"2023","10",10,10,6,"richness_all","Plant richness"
"2023","A",1,1,8,"richness_all","Plant richness"
"2023","N",1,1,8,"richness_all","Plant richness"
"2023","CT",0,0,7,"richness_all","Plant richness"
"2023","N",1,1,6,"richness_all","Plant richness"
"2023","SF",1,1,8,"richness_all","Plant richness"
"2023","HM",1,1,7,"richness_all","Plant richness"
"2023","AF",1,1,8,"richness_all","Plant richness"
"2023","6",6,6,6,"richness_all","Plant richness"
"2023","I",1,1,7,"richness_all","Plant richness"
"2023","8",8,8,4,"richness_all","Plant richness"
"2023","CT",0,0,8,"richness_all","Plant richness"
"2023","8",8,8,5,"richness_all","Plant richness"
"2023","10",10,10,5,"richness_all","Plant richness"
"2023","A",1,1,7,"richness_all","Plant richness"
"2023","I",1,1,7,"richness_all","Plant richness"
"2023","N",1,1,6,"richness_all","Plant richness"
"2023","4",4,4,7,"richness_all","Plant richness"
"2023","CT",0,0,7,"richness_all","Plant richness"
"2023","4",4,4,8,"richness_all","Plant richness"
"2023","S",1,1,8,"richness_all","Plant richness"
"2023","8",8,8,6,"richness_all","Plant richness"
"2023","D",1,1,8,"richness_all","Plant richness"
"2023","MP",1,1,7,"richness_all","Plant richness"
"2023","A",1,1,7,"richness_all","Plant richness"
"2024","N",1,1,8,"richness_all","Plant richness"
"2024","I",1,1,9,"richness_all","Plant richness"
"2024","AF",1,1,8,"richness_all","Plant richness"
"2024","AF",1,1,10,"richness_all","Plant richness"
"2024","10",10,10,4,"richness_all","Plant richness"
"2024","N",1,1,9,"richness_all","Plant richness"
"2024","W",1,1,8,"richness_all","Plant richness"
"2024","D",1,1,12,"richness_all","Plant richness"
"2024","W",1,1,10,"richness_all","Plant richness"
"2024","10",10,10,2,"richness_all","Plant richness"
"2024","2",2,2,6,"richness_all","Plant richness"
"2024","MP",1,1,9,"richness_all","Plant richness"
"2024","2",2,2,8,"richness_all","Plant richness"
"2024","8",8,8,5,"richness_all","Plant richness"
"2024","4",4,4,11,"richness_all","Plant richness"
"2024","4",4,4,9,"richness_all","Plant richness"
"2024","MP",1,1,11,"richness_all","Plant richness"
"2024","2",2,2,10,"richness_all","Plant richness"
"2024","W",1,1,6,"richness_all","Plant richness"
"2024","6",6,6,5,"richness_all","Plant richness"
"2024","I",1,1,8,"richness_all","Plant richness"
"2024","S",1,1,14,"richness_all","Plant richness"
"2024","CT",0,0,9,"richness_all","Plant richness"
"2024","8",8,8,4,"richness_all","Plant richness"
"2024","N",1,1,9,"richness_all","Plant richness"
"2024","CT",0,0,10,"richness_all","Plant richness"
"2024","CT",0,0,9,"richness_all","Plant richness"
"2024","I",1,1,8,"richness_all","Plant richness"
"2024","W",1,1,5,"richness_all","Plant richness"
"2024","HM",1,1,10,"richness_all","Plant richness"
"2024","S",1,1,8,"richness_all","Plant richness"
"2024","6",6,6,10,"richness_all","Plant richness"
"2024","6",6,6,8,"richness_all","Plant richness"
"2024","10",10,10,4,"richness_all","Plant richness"
"2024","8",8,8,4,"richness_all","Plant richness"
"2024","HM",1,1,9,"richness_all","Plant richness"
"2024","4",4,4,8,"richness_all","Plant richness"
"2024","6",6,6,6,"richness_all","Plant richness"
"2024","I",1,1,7,"richness_all","Plant richness"
"2024","CT",0,0,6,"richness_all","Plant richness"
"2024","CT",0,0,9,"richness_all","Plant richness"
"2024","MP",1,1,9,"richness_all","Plant richness"
"2024","S",1,1,12,"richness_all","Plant richness"
"2024","MP",1,1,13,"richness_all","Plant richness"
"2024","W",1,1,3,"richness_all","Plant richness"
"2024","CT",0,0,9,"richness_all","Plant richness"
"2024","4",4,4,3,"richness_all","Plant richness"
"2024","CT",0,0,11,"richness_all","Plant richness"
"2024","10",10,10,4,"richness_all","Plant richness"
"2024","2",2,2,8,"richness_all","Plant richness"
"2024","8",8,8,4,"richness_all","Plant richness"
"2024","D",1,1,11,"richness_all","Plant richness"
"2024","SF",1,1,11,"richness_all","Plant richness"
"2024","2",2,2,12,"richness_all","Plant richness"
"2024","AF",1,1,9,"richness_all","Plant richness"
"2024","SF",1,1,7,"richness_all","Plant richness"
"2024","2",2,2,4,"richness_all","Plant richness"
"2024","6",6,6,6,"richness_all","Plant richness"
"2024","2",2,2,5,"richness_all","Plant richness"
"2024","SF",1,1,9,"richness_all","Plant richness"
"2024","4",4,4,7,"richness_all","Plant richness"
"2024","D",1,1,9,"richness_all","Plant richness"
"2024","AF",1,1,10,"richness_all","Plant richness"
"2024","10",10,10,3,"richness_all","Plant richness"
"2024","8",8,8,7,"richness_all","Plant richness"
"2024","SF",1,1,10,"richness_all","Plant richness"
"2024","10",10,10,4,"richness_all","Plant richness"
"2024","N",1,1,6,"richness_all","Plant richness"
"2024","HM",1,1,6,"richness_all","Plant richness"
"2024","AF",1,1,8,"richness_all","Plant richness"
"2024","I",1,1,7,"richness_all","Plant richness"
"2024","SF",1,1,8,"richness_all","Plant richness"
"2024","W",1,1,4,"richness_all","Plant richness"
"2024","W",1,1,6,"richness_all","Plant richness"
"2024","S",1,1,12,"richness_all","Plant richness"
"2024","4",4,4,8,"richness_all","Plant richness"
"2024","D",1,1,13,"richness_all","Plant richness"
"2024","2",2,2,9,"richness_all","Plant richness"
"2024","AF",1,1,8,"richness_all","Plant richness"
"2024","W",1,1,6,"richness_all","Plant richness"
"2024","2",2,2,6,"richness_all","Plant richness"
"2024","10",10,10,3,"richness_all","Plant richness"
"2024","A",1,1,6,"richness_all","Plant richness"
"2024","2",2,2,7,"richness_all","Plant richness"
"2024","8",8,8,3,"richness_all","Plant richness"
"2024","D",1,1,5,"richness_all","Plant richness"
"2024","S",1,1,5,"richness_all","Plant richness"
"2024","HM",1,1,10,"richness_all","Plant richness"
"2024","CT",0,0,8,"richness_all","Plant richness"
