"year","response","null_model","n","intercept","slope","slope_se","slope_t","slope_p","slope_ci_low","slope_ci_high","r_squared","adj_r_squared","model_p"
"2022","richness_all","additive",60,-0.00485898467213702,0.0653761358202975,0.0132885444028447,4.91973641645072,7.50721279951073e-06,0.038776224150283,0.0919760474903121,0.294436565229258,0.282271678422866,7.50721279951084e-06
"2023","richness_all","additive",60,0.0214345407210831,-0.0391899826590001,0.00937256917846154,-4.1813489890328,9.91308986060797e-05,-0.0579512182548873,-0.0204287470631129,0.231621981260729,0.218374084385914,9.91308986060807e-05
"2024","richness_all","additive",60,0.0552164107026782,-0.0258483243600295,0.0137379810904977,-1.88152277905728,0.0649225259464233,-0.0533478813057354,0.00165123258567632,0.0575255217204915,0.0412759617501551,0.0649225259464234
"2025","richness_all","additive",60,0.110464790484833,-0.0440208214013911,0.0152702815169789,-2.88277733140968,0.00552053115528941,-0.0745876109017476,-0.0134540319010345,0.125325808591154,0.110245219084105,0.00552053115528943
"2021","shannon_all","additive",60,0.00866466512384055,0.00199421314391196,0.00272753503263122,0.731141165944318,0.46763652811431,-0.00346554141952459,0.00745396770734851,0.00913250799043179,-0.0079514142855952,0.467636528114311
"2022","shannon_all","additive",60,-0.00699163820377002,0.0353315767485616,0.00677827949974716,5.2124697351119,2.58981475455246e-06,0.0217633761614944,0.0488997773356287,0.319007767345399,0.307266521954802,2.58981475455249e-06
"2023","shannon_all","additive",60,0.0630707842243639,0.00127250300615986,0.0103678416426524,0.122735575061727,0.902740797083336,-0.0194809868827866,0.0220259928951063,0.000259657067346846,-0.0169772453970092,0.902740797083336
"2024","shannon_all","additive",60,-12.630548725085,3.97314411512205,2.48449438648821,1.59917612884528,0.115215367898895,-1.00011173757209,8.9463999678162,0.0422304425069861,0.0257171742743481,0.115215367898895
"2025","shannon_all","additive",60,0.16625201817379,-0.0563633774046304,0.0149794712246759,-3.76270807956039,0.000393815637537739,-0.0863480468583147,-0.0263787079509462,0.196208009753102,0.182349527162638,0.000393815637537741
"2021","biomass","dominative",60,-0.0890924274668499,-0.00829322686977044,0.010220024411867,-0.81146840120467,0.420414457136171,-0.0287508284233958,0.0121643746838549,0.0112256736844858,-0.00582215952785048,0.420414457136171
"2022","biomass","dominative",59,0.486494277688523,-0.115998583603582,0.0263203217488275,-4.40718714271603,4.68354692785443e-05,-0.168704118783035,-0.0632930484241286,0.254154150493069,0.241069135589438,4.68354692785443e-05
"2023","biomass","dominative",60,-0.0117439342110069,0.0187813549909567,0.0178070602501919,1.05471395767049,0.295930031906482,-0.01686334885308,0.0544260588349934,0.018818744075528,0.0019018258699337,0.295930031906482
"2024","biomass","dominative",60,-0.0747206583933187,0.00116728021256211,0.0108513142448142,0.107570399882203,0.914707726368275,-0.0205539852372367,0.0228885456623609,0.000199466945186493,-0.0170384732798965,0.914707726368275
"2025","biomass","dominative",60,0.109414368563175,-0.0199547476100251,0.0160992188044731,-1.23948545903859,0.22015775237252,-0.0521808353720187,0.0122713401519685,0.0258048212369542,0.00900835263759148,0.22015775237252
"2021","evenness_all","dominative",60,0.0126072470227608,-0.00248094684091921,0.00229623525298842,-1.08044105571953,0.284418099231801,-0.00707736109453679,0.00211546741269837,0.0197296789219694,0.00282846648958968,0.284418099231801
"2022","evenness_all","dominative",60,-0.027482058344254,0.0165732548180172,0.00322612109639122,5.13720791093561,3.4112492326696e-06,0.0101154718134011,0.0230310378226333,0.312722147992093,0.300872529854025,3.41124923266963e-06
"2023","evenness_all","dominative",60,0.0935166472788862,-0.00238601404830685,0.00587727254981926,-0.405973013516316,0.686256345984373,-0.0141506532703669,0.00937862517375322,0.00283357026560773,-0.0143589543849851,0.686256345984373
"2024","evenness_all","dominative",60,0.0681955127613464,0.00448183979483701,0.00949731237939212,0.471906115730383,0.638764402042968,-0.0145290964473812,0.0234927760370552,0.0038248896002218,-0.0133505433377055,0.638764402042968
"2025","evenness_all","dominative",59,0.0593676345458454,-0.0291885486509539,0.010682005838457,-2.73249697597714,0.00835491396568671,-0.0505788963784089,-0.00779820092349893,0.115820389239481,0.100308466243683,0.00835491396568678
"2021","richness_all","dominative",60,0.00880836524285391,-0.00628267967584909,0.00416299005125581,-1.50917479948189,0.136682791027467,-0.0146158096477705,0.00205045029607233,0.0377853174540348,0.0211954091342769,0.136682791027467
"2022","richness_all","dominative",60,0.165184274818956,-0.0353197710302574,0.00724529689779036,-4.87485489256198,8.82174797218231e-06,-0.0498228085083876,-0.0208167335521272,0.290643181883203,0.278412891915672,8.82174797218234e-06
"2023","richness_all","dominative",60,0.022326873642022,-0.0475410545036088,0.00878906431171124,-5.40911441963867,1.25390221987073e-06,-0.0651342782056381,-0.0299478308015796,0.335308451318252,0.32384825220305,1.25390221987073e-06
"2024","richness_all","dominative",60,0.110771022115037,-0.0606474677070154,0.0114417589283133,-5.3005371015937,1.87330071586125e-06,-0.0835506366031949,-0.0377442988108359,0.326330997543317,0.31471601474234,1.87330071586124e-06
"2025","richness_all","dominative",60,0.143916381422219,-0.0637107201151527,0.0137219306602392,-4.64298513763529,2.01312601951526e-05,-0.0911781486339821,-0.0362432915963233,0.270965807171033,0.258396252122258,2.01312601951526e-05
"2021","shannon_all","dominative",60,0.0125931092031773,-0.00225006055938662,0.00233194203069693,-0.96488700395102,0.338607409925923,-0.0069179496942458,0.00241782857547257,0.0157982525479878,-0.00117074309773635,0.338607409925923
"2022","shannon_all","dominative",60,0.0614438499269589,-0.00456965982703191,0.00466709487238445,-0.979122977351699,0.331585742505315,-0.0139118652332484,0.00477254557918463,0.0162602313252594,-0.000700799169132571,0.331585742505316
"2023","shannon_all","dominative",60,0.112816819839154,-0.0271952823557639,0.00900553370143432,-3.01984127286453,0.00375639769114702,-0.0452218166199841,-0.00916874809154363,0.135868850140288,0.120970037211672,0.00375639769114706
"2024","shannon_all","dominative",60,0.136835043857871,-0.0440663847238362,0.0116877071609002,-3.77031902983119,0.000384305897057663,-0.0674618724973795,-0.0206708969502929,0.196846159844041,0.182998679841352,0.000384305897057666
"2025","shannon_all","dominative",60,0.160823827035515,-0.0699615402087626,0.013021895162268,-5.37260816009962,1.43546352366517e-06,-0.0960276954317807,-0.0438953849857446,0.332296615937681,0.320784488626262,1.43546352366517e-06
"2021","biomass","multiplicative",60,-0.0292630088230291,-0.0736928818942768,0.00803571421195815,-9.17066983101671,6.94176307241455e-13,-0.0897781115299478,-0.0576076522586058,0.591840138849145,0.584802899863786,6.94176307241455e-13
"2022","biomass","multiplicative",59,0.763371541305539,-0.107892666421766,0.0468441008453763,-2.3032284636629,0.0249355107170977,-0.201696360336177,-0.0140889725073553,0.0851436186581102,0.0690935067047437,0.0249355107170977
"2023","biomass","multiplicative",60,0.0396136337284561,0.00524074478589612,0.0173792831845283,0.301551262514764,0.764072719725583,-0.0295476702264855,0.0400291597982778,0.0015653589806803,-0.0156490313817217,0.764072719725583
"2024","biomass","multiplicative",60,-0.166565006252949,0.0456273167571633,0.0136025118194916,3.35433024155009,0.00140701833893591,0.0183989310197947,0.0728557024945319,0.162473394405728,0.148033280516172,0.00140701833893591
"2025","biomass","multiplicative",60,-0.0960213773327914,0.0913849203412008,0.0234108040893915,3.90353616186176,0.000249545703876549,0.044523104477567,0.138246736204834,0.208057004835548,0.194402815263747,0.00024954570387655
"2021","evenness_all","multiplicative",60,0.00633642484150069,0.00455032932844426,0.00262321754441493,1.73463666333443,0.0881170721139696,-0.000700611094927642,0.00980126975181616,0.0493200365824172,0.0329290027303899,0.0881170721139696
"2022","evenness_all","multiplicative",60,-0.0232822226796009,0.017319093199336,0.00346917612375752,4.99227844926403,5.77766599331661e-06,0.0103747826968314,0.0242634037018406,0.300554622564881,0.288495219505655,5.77766599331661e-06
"2023","evenness_all","multiplicative",60,0.0352693152713116,0.0222673552622717,0.00684207813253757,3.25447252003438,0.00189781378189253,0.00857144783648346,0.03596326268806,0.154415303246372,0.13983625675062,0.00189781378189253
"2024","evenness_all","multiplicative",60,-0.0513724294860535,0.0790458874320069,0.0122874022132872,6.43308374381439,2.60692560033458e-08,0.054449979586945,0.103641795277069,0.416408381412992,0.406346456954596,2.60692560033458e-08
"2025","evenness_all","multiplicative",59,0.0748974410827894,-0.034834516506976,0.0109130377391541,-3.19200916734629,0.00229991270987875,-0.0566874976355714,-0.0129815353783806,0.151645868717706,0.136762462905736,0.00229991270987878
"2021","richness_all","multiplicative",60,0.0200523009812053,-0.0119594167159583,0.00399169692675998,-2.99607333306881,0.00401876246851785,-0.0199496662456625,-0.00396916718625403,0.134024044139409,0.119093424210778,0.00401876246851785
"2022","richness_all","multiplicative",60,0.119096613810079,0.0135946626591663,0.00990707919124227,1.37221701742162,0.175279822032989,-0.00623651097475479,0.0334258362930874,0.0314443195257592,0.0147450836555137,0.175279822032989
"2023","richness_all","multiplicative",60,0.0202091901387681,-0.0396936149433449,0.00954835853348607,-4.15711400070908,0.000107569416278543,-0.0588067311647113,-0.0205804987219785,0.229559381655849,0.216275922718881,0.000107569416278543
"2024","richness_all","multiplicative",60,0.115824762562936,-0.0488768760538162,0.012152624117864,-4.02191951135627,0.0001689953910538,-0.0732029962287897,-0.0245507558788427,0.218074204578112,0.2045927253467,0.000168995391053799
"2025","richness_all","multiplicative",60,0.175104229471888,-0.0700316603132164,0.0131710789839832,-5.31707845639519,1.76242754551988e-06,-0.0963964394005134,-0.0436668812259194,0.327702441857709,0.316111104648359,1.76242754551987e-06
"2021","shannon_all","multiplicative",60,0.00324538754095796,0.00224707366780704,0.00276931034505885,0.811419952197265,0.420442045663344,-0.00329630326892153,0.00779045060453561,0.0112243483042844,-0.00582350775943463,0.420442045663344
"2022","shannon_all","multiplicative",60,0.0199529340191999,0.0245192788591058,0.00592291862782677,4.13972914365403,0.000114046698224151,0.0126632690846154,0.0363752886335961,0.228080384774582,0.214771425891385,0.000114046698224152
"2023","shannon_all","multiplicative",60,0.0751186960533718,-0.00623334877736204,0.00965111824297415,-0.645868035229991,0.520912078512817,-0.0255521609058764,0.0130854633511524,0.00714080626888315,-0.00997745569199804,0.520912078512818
"2024","shannon_all","multiplicative",60,0.0857528308739623,0.0259400096769332,0.0157964572967715,1.64214096804066,0.105972436743251,-0.00568003508156787,0.0575600544354343,0.0444279541389131,0.02795257403786,0.105972436743251
"2025","shannon_all","multiplicative",60,0.181859518585052,-0.0672152479510054,0.0135328230753318,-4.96683120564312,6.33447744247671e-06,-0.0943041365107412,-0.0401263593912696,0.29841039825109,0.286314025807143,6.33447744247665e-06
