"","SampleNo","Amaranthus_retroflexus","Arenaria_serpyllifolia_agg.","Bellis_perennis","Brassica_napus","Bromus_hordeaceus","Capsella_bursa.pastoris","Cerastium_fontanum","Cerastium_glomeratum","Cerastium_holosteoides","Chenopodium_album","Cichorium_intybus","Cirsium_arvense","Convolvulus_arvensis","Crepis_capillaris","Dactylis_glomerata","Digitaria_sanguinalis","Echinocloa_crus.gali","Elymus_repens","Eragrostis_minor","Erigeron_canadensis","Erodium_spec.","Euphorbia_peplus","Festuca_arundinacea","Festuca_rubra","Galinsoga_parviflora","Geranium_molle","Geranium_pusillum","Hordeum_murinum","Hypericum_perforatum","Hypochaeris_radicata","Lamium_purpurea","Lolium_multiflorum_agg.","Lolium_perenne","Lotus_corniculatus","Matricaria_discoidea","Medicargo_x_varia","Persicaria_laxiflora","Phleum_pratense","Plantago_intermedia","Plantago_lanceolata","Poa_trivialis","Polygonum_aviculare","Portulaca_oleracea","Rumex_chrispus","Rumex_obtursifolia","Rumex_thyrsiflorus","Scorzoneroides_autumnalis","Silene_latifolia","Sonchus_oleraceus","Spergula_arvensis","Stellaria_media","Taraxacum_sec._ruderalia","Trifolium_hybridum","Trifolium_pratense","Trifolium_repens","Vicia_villosa","grass_sum","herb_sum","legume_sum","all_abundance","grass_prop","herb_prop","legume_prop","time","W","N","D","HM","MP","S","A","I","AF","SF","Lv","remark","richness_all","diversity_all","diversity_grass","diversity_herb","diversity_legume","shannon_all","evenness_all","simpson_all","shannon_grass","evenness_grass","simpson_grass","shannon_herb","evenness_herb","simpson_herb","shannon_legume","evenness_legume","simpson_legume","biomass_oct","biomass_jun","biomass"
"11",11,20,0,0,0,0,0,0,0,0,5,10,0,0,0,1,1,1,0,5,1,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,5,0,0,0,0,0,0,1,1,0,0,70,70,0,27,68,140,235,0.114893617021277,0.28936170212766,0.595744680851064,0,1,0,0,0,0,0,0,0,1,0,2,"2",19,0.801231326392033,0.727023319615912,0.788494809688581,0.5,2.0225672019428,0.686910890751549,0.801231326392033,1.59534579482666,0.767199155566496,0.727023319615912,1.763673726373,0.802682504357914,0.788494809688581,0.693147180559945,1,0.5,358.78235,0,358.78235
"12",12,0,0,0,0,0,0,0,1,0,0,30,0,0,0,1,0,5,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,10,0,0,0,0,0,0,0,1,0,0,60,60,0,26,57,120,203,0.12807881773399,0.280788177339901,0.591133004926108,0,0,0,0,0,1,0,0,0,0,0,1,"MP",15,0.793127714819578,0.707100591715976,0.65312403816559,0.5,1.89759307628137,0.700723005618221,0.793127714819578,1.49220196410621,0.766840115835069,0.707100591715976,1.3038440244676,0.727689205420713,0.65312403816559,0.693147180559945,1,0.5,227.95333,0,227.95333
"13",13,0,0,0,0,0,0,0,0,0,5,70,0,0,0,1,0,1,0,5,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,50,30,0,26,105,80,211,0.123222748815166,0.497630331753554,0.37914691943128,0,0,0,1,0,0,0,1,0,0,0,2,"2",14,0.798454661844972,0.707100591715976,0.512471655328798,0.46875,1.91583343326699,0.72595370012151,0.798454661844972,1.49220196410621,0.766840115835069,0.707100591715976,1.02109481586184,0.634441880592677,0.512471655328798,0.661563238157982,0.954434002924965,0.46875,547.98235,0,547.98235
"14",14,0,0,0,10,0,0,0,0,0,0,50,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,5,0,0,0,0,0,0,5,0,0,0,50,40,0,22,95,90,207,0.106280193236715,0.458937198067633,0.434782608695652,0,1,1,0,1,0,1,1,1,1,1,8,"8",15,0.828490746575183,0.640495867768595,0.659279778393352,0.493827160493827,2.02979312585218,0.749540435042906,0.828490746575183,1.3698574824662,0.703967489522181,0.640495867768595,1.36773778255908,0.76334899078186,0.659279778393352,0.686961576597323,0.991076059838222,0.493827160493827,533.25333,0,533.25333
"15",15,0,0,0,0,0,1,0,0,0,10,50,0,0,0,1,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,60,50,0,21,91,110,222,0.0945945945945946,0.40990990990991,0.495495495495495,0,0,0,1,1,0,1,1,0,0,0,4,"4",14,0.810810810810811,0.607709750566893,0.63156623596184,0.495867768595041,1.91725432258792,0.726492108023826,0.810810810810811,1.24137627774121,0.692825292156001,0.607709750566893,1.27310098127763,0.710531186323868,0.63156623596184,0.689009238476659,0.994030211476957,0.495867768595041,546.88235,0,546.88235
"16",16,0,0,0,0,0,0,0,0,0,1,30,0,0,0,1,5,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,5,0,0,0,0,0,0,1,0,0,0,60,50,0,27,52,110,189,0.142857142857143,0.275132275132275,0.582010582010582,0,0,0,0,1,0,1,0,1,0,1,4,"4",16,0.794210688390583,0.727023319615912,0.61094674556213,0.495867768595041,1.91724312918305,0.691499288662705,0.794210688390583,1.59534579482666,0.767199155566496,0.727023319615912,1.23670234350169,0.690216719789126,0.61094674556213,0.689009238476659,0.994030211476957,0.495867768595041,546.45333,0,546.45333
"17",17,0,0,0,0,0,0,0,0,0,1,80,0,0,0,0,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,50,30,0,21,107,80,208,0.100961538461538,0.514423076923077,0.384615384615385,0,0,0,0,0,1,0,0,0,0,0,1,"MP",13,0.759615384615385,0.607709750566893,0.403703380207879,0.46875,1.71240775812411,0.6676185450378,0.759615384615385,1.24137627774121,0.692825292156001,0.607709750566893,0.761389901684702,0.473078144737614,0.403703380207879,0.661563238157982,0.954434002924965,0.46875,696.70666,0,696.70666
"18",18,0,0,0,0,0,0,0,0,0,5,70,0,0,0,0,0,5,0,0,0,1,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,40,30,0,24,106,70,200,0.12,0.53,0.35,0,0,0,1,1,0,0,0,0,0,0,2,"2",13,0.7982,0.659722222222222,0.521537913848345,0.489795918367347,1.91354116836171,0.746034678148769,0.7982,1.26500137527307,0.785989546723112,0.659722222222222,1.06484587617767,0.59430179913403,0.521537913848345,0.682908104700472,0.985228136034252,0.489795918367347,624.75333,0,624.75333
"19",19,0,0,0,0,0,1,0,0,0,1,60,0,0,0,1,5,1,0,0,1,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,5,0,10,0,0,1,0,0,0,0,0,1,0,0,0,1,60,30,0,30,85,91,206,0.145631067961165,0.412621359223301,0.441747572815534,0,1,0,0,0,0,0,0,0,0,0,1,"W",18,0.799038552172684,0.753333333333333,0.473356401384083,0.456466610312764,1.96200520150626,0.678807214382123,0.799038552172684,1.6025157655299,0.82353019552721,0.753333333333333,1.01074095539376,0.486063654656652,0.473356401384083,0.690017801207062,0.628081269729467,0.456466610312764,786.00666,0,786.00666
"20",20,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,0,5,0,1,0,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,50,20,0,25,85,70,180,0.138888888888889,0.472222222222222,0.388888888888889,0,1,0,0,1,1,0,1,1,1,0,6,"6",12,0.786358024691358,0.6848,0.470588235294118,0.408163265306122,1.85302007411431,0.745710135337439,0.786358024691358,1.38234546799632,0.771501695253704,0.6848,0.916068137015288,0.660803479194173,0.470588235294118,0.598269588585257,0.863120568566631,0.408163265306122,616.95333,0,616.95333
"21",21,0,0,0,0,0,0,0,0,0,5,80,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,50,30,0,22,97,80,199,0.110552763819095,0.487437185929648,0.402010050251256,0,0,0,0,0,0,0,0,1,0,0,1,"I",15,0.746193277947527,0.640495867768595,0.311616537357849,0.46875,1.72442622903946,0.636777792500893,0.746193277947527,1.3698574824662,0.703967489522181,0.640495867768595,0.711786241798001,0.39725546538044,0.311616537357849,0.661563238157982,0.954434002924965,0.46875,682.13568,0,682.13568
"22",22,0,0,0,0,0,0,0,0,0,5,60,0,0,0,1,1,5,0,5,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,5,0,0,0,0,60,30,0,31,86,90,207,0.14975845410628,0.415458937198068,0.434782608695652,0,0,0,0,0,0,1,0,0,0,0,1,"S",16,0.801652313939649,0.767950052029136,0.489453758788534,0.444444444444444,1.9777181313478,0.713311035092916,0.801652313939649,1.69332757597007,0.814318432150848,0.767950052029136,1.04936946660493,0.585664250490624,0.489453758788534,0.636514168294813,0.91829583405449,0.444444444444444,540.71998,0,540.71998
"23",23,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,5,0,1,1,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,0,0,20,0,0,5,0,0,0,0,0,0,5,1,0,0,60,70,0,25,47,130,202,0.123762376237624,0.232673267326733,0.643564356435644,0,0,0,0,0,0,0,0,0,0,0,0,"CT",15,0.772718360945005,0.6848,0.738795835219556,0.497041420118343,1.86247232766799,0.687753988796049,0.772718360945005,1.38234546799632,0.771501695253704,0.6848,1.57180579133704,0.80774839069528,0.738795835219556,0.690185676018804,0.995727452084926,0.497041420118343,276.18235,0,276.18235
"24",24,5,0,0,0,0,0,0,0,0,1,20,0,0,0,0,1,1,0,1,0,0,0,5,0,5,0,0,0,0,0,0,16,5,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,50,60,0,34,41,110,185,0.183783783783784,0.221621621621622,0.594594594594595,0,1,1,1,1,1,0,0,1,1,1,8,"8",15,0.797370343316289,0.711072664359861,0.701963117192148,0.495867768595041,1.96701411714944,0.726358069857362,0.797370343316289,1.5115667527824,0.7767916486361,0.711072664359861,1.46714758573451,0.818830658317436,0.701963117192148,0.689009238476659,0.994030211476957,0.495867768595041,348.35333,0,348.35333
"25",25,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1,1,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,50,40,0,23,90,90,203,0.113300492610837,0.443349753694581,0.443349753694581,0,0,1,0,0,0,0,0,0,0,0,1,"N",14,0.797981023562814,0.669187145557656,0.5,0.493827160493827,1.85166855971007,0.70164014208059,0.797981023562814,1.48914337420626,0.716126587046676,0.669187145557656,0.925701911121967,0.667752778258549,0.5,0.686961576597323,0.991076059838222,0.493827160493827,476.35333,0,476.35333
"26",26,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,60,60,0,21,66,120,207,0.101449275362319,0.318840579710145,0.579710144927536,0,0,0,0,0,0,0,0,0,0,0,0,"CT",12,0.780648323181405,0.607709750566893,0.534894398530762,0.5,1.73511285112002,0.698260778234086,0.780648323181405,1.24137627774121,0.692825292156001,0.607709750566893,0.92424545115055,0.666702164469541,0.534894398530762,0.693147180559945,1,0.5,447.75333,0,447.75333
"27",27,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,1,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,60,30,0,22,86,90,198,0.111111111111111,0.434343434343434,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,"CT",13,0.77808386899296,0.640495867768595,0.45565170362358,0.444444444444444,1.75702878165719,0.68501499904703,0.77808386899296,1.3698574824662,0.703967489522181,0.640495867768595,0.80757393850262,0.582541458114449,0.45565170362358,0.636514168294813,0.91829583405449,0.444444444444444,384.35333,0,384.35333
"28",28,0,0,0,0,0,0,0,0,0,5,60,0,0,0,1,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,60,50,0,22,90,110,222,0.0990990990990991,0.405405405405405,0.495495495495495,0,0,0,0,0,0,0,0,1,0,0,1,"I",14,0.79457836214593,0.640495867768595,0.524691358024691,0.495867768595041,1.85792671483666,0.704011502132665,0.79457836214593,1.3698574824662,0.703967489522181,0.640495867768595,1.07973461791307,0.670876838162762,0.524691358024691,0.689009238476659,0.994030211476957,0.495867768595041,444.58235,0,444.58235
"29",29,0,0,0,0,0,0,0,0,0,5,70,0,0,0,1,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,50,30,0,21,101,80,202,0.103960396039604,0.5,0.396039603960396,0,1,0,0,0,0,0,0,0,0,0,1,"W",13,0.781295951377316,0.607709750566893,0.475443583962357,0.46875,1.79882793195678,0.701311285824774,0.781295951377316,1.24137627774121,0.692825292156001,0.607709750566893,0.918054263981102,0.57041918603287,0.475443583962357,0.661563238157982,0.954434002924965,0.46875,629.35333,0,629.35333
"30",30,0,0,0,0,0,1,0,0,0,0,60,0,0,0,5,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,5,0,20,0,0,1,0,0,0,0,0,0,0,1,0,0,50,40,0,29,88,90,207,0.140096618357488,0.42512077294686,0.434782608695652,0,0,0,0,1,0,0,0,0,0,0,1,"HM",14,0.805152979066023,0.737217598097503,0.479855371900826,0.493827160493827,1.89919567400687,0.719649267446476,0.805152979066023,1.50659070984966,0.840844285030484,0.737217598097503,0.913444669403475,0.50980317676067,0.479855371900826,0.686961576597323,0.991076059838222,0.493827160493827,660.80666,0,660.80666
"31",31,0,0,0,0,0,1,0,0,0,5,40,0,0,0,1,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,1,0,0,0,0,60,30,0,19,68,90,177,0.107344632768362,0.384180790960452,0.508474576271186,0,0,0,0,0,0,1,0,0,0,0,1,"S",14,0.794152382776341,0.526315789473684,0.615484429065744,0.444444444444444,1.8977019228347,0.719083250499661,0.794152382776341,0.95148796023873,0.686353480850985,0.526315789473684,1.3559400907495,0.652069348222277,0.615484429065744,0.636514168294813,0.91829583405449,0.444444444444444,608.9647,0,608.9647
"32",32,0,0,0,0,0,0,0,0,0,5,60,0,0,0,5,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,0,25,85,80,190,0.131578947368421,0.447368421052632,0.421052631578947,0,0,0,1,0,0,1,1,1,1,1,6,"6",12,0.794404432132964,0.6848,0.470588235294118,0.46875,1.86118251532656,0.748994943325273,0.794404432132964,1.38234546799632,0.771501695253704,0.6848,0.916068137015287,0.660803479194173,0.470588235294118,0.661563238157982,0.954434002924965,0.46875,678.70666,0,678.70666
"33",33,0,0,0,0,0,0,0,0,0,5,80,0,0,0,1,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,50,20,0,21,97,70,188,0.111702127659574,0.515957446808511,0.372340425531915,0,0,1,1,1,0,1,1,0,1,0,6,"6",14,0.729798551380715,0.607709750566893,0.311616537357849,0.408163265306122,1.68279534281646,0.637650165433046,0.729798551380715,1.24137627774121,0.692825292156001,0.607709750566893,0.711786241798001,0.39725546538044,0.311616537357849,0.598269588585257,0.863120568566631,0.408163265306122,778.85333,0,778.85333
"34",34,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,0,1,0,1,0,0,0,5,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,1,0,5,0,0,0,0,0,0,1,0,0,0,60,70,0,27,32,130,189,0.142857142857143,0.169312169312169,0.687830687830688,0,1,1,1,1,1,1,1,1,1,1,10,"10",16,0.749419109207469,0.727023319615912,0.75390625,0.497041420118343,1.79669579504483,0.648021028374306,0.749419109207469,1.59534579482666,0.767199155566496,0.727023319615912,1.52367087204279,0.850376905053688,0.75390625,0.690185676018804,0.995727452084926,0.497041420118343,275.45333,0,275.45333
"35",35,0,0,0,0,0,0,0,0,0,1,20,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,1,0,1,0,0,0,0,0,0,1,1,0,0,50,70,0,23,39,120,182,0.126373626373626,0.214285714285714,0.659340659340659,0,1,1,1,1,0,1,0,1,1,1,8,"8",17,0.75534355754136,0.669187145557656,0.652202498356345,0.486111111111111,1.78725079401262,0.630821112628911,0.75534355754136,1.48914337420626,0.716126587046676,0.669187145557656,1.33054405732988,0.68376438551175,0.652202498356345,0.679193265991526,0.979868756651153,0.486111111111111,272.00666,0,272.00666
"36",36,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,5,1,0,5,0,0,0,0,0,0,0,0,0,0,60,70,0,23,25,130,178,0.129213483146067,0.140449438202247,0.730337078651685,0,0,0,0,1,0,0,0,0,0,0,1,"HM",14,0.720679207170812,0.669187145557656,0.72,0.497041420118343,1.65319461965804,0.626433765233534,0.720679207170812,1.48914337420626,0.716126587046676,0.669187145557656,1.33217904021012,0.960964047443681,0.72,0.690185676018804,0.995727452084926,0.497041420118343,300.95333,0,300.95333
"37",37,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,1,5,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,5,0,20,1,0,0,0,0,0,0,0,0,1,1,0,0,60,70,0,31,47,130,208,0.149038461538462,0.225961538461538,0.625,0,0,1,0,0,0,1,0,1,0,1,4,"4",15,0.779262204142012,0.767950052029136,0.625622453598914,0.497041420118343,1.8524790909269,0.684063792529739,0.779262204142012,1.69332757597007,0.814318432150848,0.767950052029136,1.12937142076686,0.701717917815675,0.625622453598914,0.690185676018804,0.995727452084926,0.497041420118343,325.95333,0,325.95333
"38",38,0,0,0,0,0,0,0,0,0,1,20,0,0,0,1,1,5,0,1,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,60,60,0,27,37,120,184,0.146739130434783,0.201086956521739,0.652173913043478,0,1,0,1,0,1,1,0,1,0,1,6,"6",15,0.765890831758034,0.727023319615912,0.615047479912345,0.5,1.80068416874138,0.664937514086141,0.765890831758034,1.59534579482666,0.767199155566496,0.727023319615912,1.15179126499042,0.715648150259155,0.615047479912345,0.693147180559945,1,0.5,435.15333,0,435.15333
"39",39,0,0,0,0,0,0,0,0,0,1,30,0,0,0,1,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,12,5,0,1,0,0,1,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,60,50,0,22,52,110,184,0.119565217391304,0.282608695652174,0.597826086956522,0,0,0,0,0,0,0,0,1,0,0,1,"I",15,0.783612948960303,0.640495867768595,0.61094674556213,0.495867768595041,1.84382681810624,0.680868773169632,0.783612948960303,1.3698574824662,0.703967489522181,0.640495867768595,1.23670234350169,0.690216719789126,0.61094674556213,0.689009238476659,0.994030211476957,0.495867768595041,444.35333,0,444.35333
